id	num	neg.score	neg.p.value	neg.fdr	neg.rank	neg.goodsgrna	neg.lfc	pos.score	pos.p.value	pos.fdr	pos.rank	pos.goodsgrna	pos.lfc
A1BG	6	0.96954	0.85493	0.899947	19558	0	0.14902	0.13248	0.50993	1	5348	3	0.14902
A1CF	6	0.039264	0.0053242	0.044022	2449	2	0.033942	0.16137	0.56439	1	6102	2	0.033942
A2M	6	0.98527	0.91978	0.944723	20003	0	0.21252	0.046921	0.29896	1	2666	4	0.21252
A2ML1	6	0.21804	0.081399	0.235779	7095	2	-0.0018617	0.0065122	0.082582	1	639	1	-0.0018617
A3GALT2	6	0.13078	0.036512	0.148469	5057	3	-0.18557	0.49445	0.84377	1	12244	1	-0.18557
A4GALT	6	0.061676	0.0093438	0.059121	3260	4	-0.16532	0.98127	0.9981	1	19746	0	-0.16532
A4GNT	6	0.63904	0.36128	0.53065	13975	1	0.52234	0.00025169	0.0065506	1	107	4	0.52234
AAAS	6	0.31288	0.13701	0.312824	9025	2	0.06732	0.86166	0.96269	1	17083	1	0.06732
AACS	6	0.73556	0.46183	0.632667	14980	1	-0.047903	0.53848	0.87248	1	12974	1	-0.047903
AADAC	6	0.26007	0.10944	0.274691	8133	3	-0.21943	0.94796	0.99249	1	18944	0	-0.21943
AADACL2	6	0.92399	0.71802	0.805644	18377	0	0.020039	0.3891	0.77318	1	10530	2	0.020039
AADACL3	6	0.6662	0.3824	0.551499	14239	1	0.061559	0.14905	0.53917	1	5774	2	0.061559
AADACL4	6	0.097188	0.024758	0.120142	4252	2	-0.00011228	0.0227	0.16898	1	1533	2	-0.00011228
AADAT	6	0.32796	0.1431	0.319597	9257	2	0.0055326	0.33837	0.74865	1	9742	2	0.0055326
AAED1	6	0.17701	0.056771	0.187495	6135	2	0.10553	0.055848	0.33116	1	3071	3	0.10553
AAGAB	6	0.0011387	3.01E-02	0.001135	542	5	-0.46605	0.99663	0.99991	1	20245	0	-0.46605
AAK1	6	0.56546	0.3287	0.512245	13074	1	0.19078	0.14743	0.53483	1	5740	3	0.19078
AAMDC	6	0.02674	0.0032515	0.034252	1964	3	-0.11413	0.59016	0.89154	1	13601	1	-0.11413
AAMP	6	0.823	0.53342	0.678497	16190	1	0.21833	0.1341	0.51293	1	5387	3	0.21833
AANAT	6	0.030531	0.0039021	0.037915	2133	3	-0.19819	0.54368	0.8779	1	13066	1	-0.19819
AAR2	6	0.0019094	6.87E-02	0.002169	643	4	-0.58526	0.80323	0.94098	1	16040	1	-0.58526
AARD	6	0.88865	0.62621	0.739403	17519	0	-0.026998	0.8471	0.95788	1	16789	1	-0.026998
AARS	6	0.0012284	3.35E-01	0.001235	554	5	-0.52461	0.88985	0.97497	1	17684	0	-0.52461
AARS2	6	0.070111	0.011712	0.068543	3578	3	-0.22923	0.42158	0.79704	1	11020	1	-0.22923
AARSD1	6	0.87423	0.60769	0.729575	17184	1	0.2156	0.033029	0.22746	1	2036	4	0.2156
AASDH	6	0.86025	0.58124	0.711461	16892	1	0.011959	0.49056	0.84243	1	12191	1	0.011959
AASDHPPT	6	1.36E-01	2.41E-03	3.2e-05	123	5	-0.72405	0.84656	0.95755	1	16779	1	-0.72405
AASS	6	0.81229	0.52016	0.669893	16026	1	0.016088	0.26565	0.70546	1	8604	2	0.016088
AATF	6	0.0065195	0.00034505	0.006753	1053	4	-0.40912	0.7881	0.9353	1	15820	1	-0.40912
AATK	6	0.16654	0.051958	0.181699	5894	2	-0.10131	0.49359	0.84377	1	12226	2	-0.10131
ABAT	6	0.35224	0.16186	0.342425	9647	1	0.38729	0.011567	0.12222	1	972	4	0.38729
ABCA1	6	0.9316	0.7344	0.816131	18563	0	0.047423	0.38686	0.77192	1	10497	2	0.047423
ABCA10	6	0.52485	0.27998	0.463196	12381	1	0.025597	0.50612	0.85415	1	12437	2	0.025597
ABCA12	6	0.39885	0.18921	0.372852	10399	1	-0.053806	0.5366	0.8714	1	12948	2	-0.053806
ABCA13	6	0.6237	0.35343	0.522862	13858	1	-0.14504	0.98716	0.99895	1	19903	0	-0.14504
ABCA2	6	0.98715	0.92616	0.948328	20074	0	0.30519	0.015781	0.13952	1	1204	3	0.30519
ABCA3	6	0.92816	0.72633	0.810814	18482	0	0.071241	0.83786	0.95243	1	16607	1	0.071241
ABCA4	6	0.87304	0.60769	0.729575	17156	1	0.23952	0.043579	0.28133	1	2519	4	0.23952
ABCA5	6	0.33917	0.15348	0.335431	9439	2	-0.09818	0.83833	0.95278	1	16614	1	-0.09818
ABCA6	6	0.93243	0.73832	0.819248	18592	0	-0.019676	0.88857	0.97411	1	17662	0	-0.019676
ABCA7	6	0.86747	0.59715	0.72139	17043	1	0.10157	0.18363	0.58935	1	6728	3	0.10157
ABCA8	6	0.8127	0.52016	0.669893	16030	1	0.084027	0.18082	0.5868	1	6655	2	0.084027
ABCA9	6	0.35393	0.16186	0.342425	9672	1	0.092815	0.51741	0.86003	1	12604	2	0.092815
ABCB1	6	0.38796	0.17975	0.36149	10232	2	-0.13752	0.14506	0.52812	1	5677	2	-0.13752
ABCB10	6	0.30943	0.13604	0.312166	8967	1	0.056084	0.02067	0.16266	1	1458	3	0.056084
ABCB11	6	0.23247	0.090483	0.250766	7434	3	-0.18483	0.96559	0.99578	1	19360	0	-0.18483
ABCB4	6	0.57024	0.33031	0.512245	13163	2	-0.054702	0.90131	0.979	1	17931	0	-0.054702
ABCB5	6	0.046523	0.0061677	0.046472	2727	3	-0.20196	0.38402	0.77192	1	10453	1	-0.20196
ABCB6	6	0.92102	0.70534	0.794933	18298	0	0.16262	0.020669	0.16266	1	1457	3	0.16262
ABCB7	6	6.95E-03	2.41E-03	3.2e-05	46	6	-0.97654	0.99924	0.99999	1	20403	0	-0.97654
ABCB8	6	0.13423	0.03861	0.154193	5132	2	-0.16996	0.95416	0.99357	1	19096	0	-0.16996
ABCB9	6	0.047754	0.0062473	0.046472	2769	4	-0.22727	0.049449	0.30728	1	2774	2	-0.22727
ABCC1	6	0.88778	0.62621	0.739403	17496	1	0.17493	0.023922	0.17928	1	1592	3	0.17493
ABCC10	6	0.83323	0.54141	0.682742	16362	1	0.22701	0.023059	0.17148	1	1549	4	0.22701
ABCC11	6	0.08866	0.022166	0.112817	4059	3	-0.14142	0.027193	0.19927	1	1755	2	-0.14142
ABCC12	6	0.16494	0.051581	0.181618	5866	2	-0.019082	0.47227	0.8321	1	11888	2	-0.019082
ABCC2	6	0.49644	0.25283	0.434821	11921	2	-0.029515	0.95529	0.99396	1	19130	0	-0.029515
ABCC3	6	0.19454	0.069322	0.218458	6549	2	0.023207	0.10508	0.45959	1	4609	2	0.023207
ABCC4	6	0.42107	0.20699	0.393747	10755	1	0.15694	0.048886	0.30603	1	2753	4	0.15694
ABCC5	6	0.2486	0.10336	0.27011	7826	3	-0.18732	0.27033	0.70768	1	8675	2	-0.18732
ABCC6	6	0.55823	0.32549	0.512245	12953	2	-0.0736	0.86279	0.96321	1	17103	1	-0.0736
ABCC8	6	0.2171	0.081399	0.235779	7074	3	-0.1072	0.11282	0.47276	1	4810	1	-0.1072
ABCC9	6	0.98659	0.92406	0.946938	20049	0	0.31381	0.0047454	0.060109	1	515	5	0.31381
ABCD1	6	0.16388	0.051581	0.181618	5839	2	-0.007993	0.32834	0.74176	1	9610	2	-0.007993
ABCD2	6	0.99651	0.96978	0.978451	20363	0	0.23708	0.0094363	0.10868	1	861	5	0.23708
ABCD3	6	0.15291	0.048897	0.17876	5587	3	-0.0076726	0.42958	0.80146	1	11144	2	-0.0076726
ABCD4	6	0.71923	0.42989	0.59806	14792	1	0.062951	0.29204	0.71986	1	9040	2	0.062951
ABCE1	6	0.92981	0.73035	0.812328	18527	0	0.16143	0.0088419	0.10593	1	817	3	0.16143
ABCF1	6	0.19455	0.069322	0.218458	6555	3	-0.16947	0.99707	0.99992	1	20267	0	-0.16947
ABCF2	6	0.017457	0.0018222	0.023426	1604	3	-0.3055	0.98402	0.99853	1	19824	0	-0.3055
ABCF3	6	0.80143	0.51227	0.666373	15854	1	0.0085343	0.29139	0.71928	1	9029	2	0.0085343
