id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna
Vmn2r52	4	2.53E-05	9.99E-05	0.656853	1	4	0.99054	0.99049	1	20429	0
Dthd1	4	4.40E-05	0.00016835	0.656853	2	4	0.99996	0.99995	1	20654	0
Olfr424	4	4.63E-05	0.00017697	0.656853	3	4	0.99993	0.99993	1	20653	0
Pttg1	4	5.26E-05	0.00020188	0.656853	4	4	0.98839	0.98838	1	20379	0
Use1	4	6.88E-05	0.00027468	0.656853	5	3	0.4705	0.47015	1	9551	0
Olfr1335	4	7.59E-05	0.0003039	0.656853	6	1	0.33812	0.33749	1	6877	0
Zfp341	4	8.10E-05	0.00032545	0.656853	7	2	0.10317	0.12374	0.994188	2547	1
Mpped1	4	8.26E-05	0.00032785	0.656853	8	3	0.56676	0.56628	1	11487	0
Thnsl2	4	8.47E-05	0.00033551	0.656853	9	4	0.99992	0.99991	1	20652	0
Rnd1	4	9.55E-05	0.00037957	0.656853	10	3	0.72805	0.72792	1	14847	0
Olfr1506	4	9.79E-05	0.00039011	0.656853	11	4	0.9999	0.9999	1	20651	0
Vax2	4	0.00012243	0.00048686	0.656853	12	4	0.99564	0.99559	1	20542	0
Mib2	4	0.00013159	0.00052422	0.656853	13	4	0.99987	0.99987	1	20650	0
Spp2	4	0.0001511	0.0005975	0.656853	14	4	0.99985	0.99985	1	20649	0
Slc25a24	4	0.00015189	0.00060085	0.656853	15	4	0.9858	0.98573	1	20338	0
Olfr1258	4	0.00015189	0.00060085	0.656853	16	2	0.34151	0.34093	1	6951	0
Elane	4	0.00015278	0.00060372	0.656853	17	3	0.57338	0.57291	1	11629	0
Sox7	4	0.00022177	0.00086188	0.747112	18	4	0.99564	0.99559	1	20540	0
Mgat4e	4	0.00022782	0.00088248	0.747112	19	3	0.37105	0.37059	1	7533	0
Hoxd8	4	0.00023147	0.0009002	0.747112	20	4	0.99977	0.99976	1	20648	0
St6gal1	4	0.00023872	0.00092079	0.747112	21	4	0.99976	0.99975	1	20647	0
Cptp	4	0.0002469	0.00094809	0.747112	22	4	0.99975	0.99974	1	20646	0
Vmn1r205	4	0.00024853	0.00095241	0.747112	23	3	0.81439	0.81424	1	16646	0
Vwc2	4	0.00027844	0.0010606	0.747112	24	3	0.93345	0.93342	1	19199	0
Efhc2	4	0.00028061	0.0010683	0.747112	25	4	0.99972	0.9997	1	20645	0
Acmsd	4	0.00029757	0.0011315	0.747112	26	3	0.61646	0.61635	1	12561	0
Glyat	4	0.00030113	0.001144	0.747112	27	4	0.9997	0.99969	1	20644	0
Olfr1115	4	0.00032074	0.0012154	0.747112	28	4	0.99968	0.99966	1	20643	0
