Signature ID,Percent Overlap (P905_L_p),adj p-val (P905_L_p),Overlap (P905_L_p),Score (P905_L_p)
KEGG_ACUTE_MYELOID_LEUKEMIA,36.8,0.1880453076,SOS1|NFKB1|BAD|MAP2K2|ARAF|BRAF|STAT5A|MTOR|PML|RAF1|MAPK1|STAT5B|STAT3|PIK3R5|EIF4EBP1|RPS6KB1|RELA|AKT2|IKBKB|RUNX1|IKBKG,1.8831000328
KEGG_ADHERENS_JUNCTION,27.4,0.4139749506,IQGAP1|WASF2|PTPN1|FYN|EP300|MAP3K7|MAPK1|SMAD3|LMO7|PTPN6|CSNK2B|SRC|CTNND1|PARD3|CTNNB1|CREBBP|BAIAP2|WAS|ACTN4|TGFBR2,1.2366000414
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,22.4,0.0031717172,PRKCQ|NFKB1|PRKAB1|PTPN11|MTOR|CAMKK2|PRKAB2|STAT3|STK11|IRS2|RELA|AKT2|IKBKB|ACSL4|IKBKG,3.4979000092
KEGG_ALZHEIMERS_DISEASE,8.4,0.0493710692,ITPR3|BAD|EIF2AK3|ITPR1|MAPK1|PSEN1|ATP2A2|GAPDH|ADAM10|PLCB3|ADAM17|GSK3B|NDUFV3|PSEN2,2.6261999607
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,12.5,0.0057901531,CD8A|CD74|RFXAP|CANX|HSP90AA1|CREB1|NFYA|HSP90AB1|RFX5|HSPA4|PSME2,3.7734000683
KEGG_APOPTOSIS,17.2,0.5637893472,NFKB1|BAD|RIPK1|PRKACA|PIK3R5|IRAK1|ATM|RELA|IL3RA|PRKAR1A|AKT2|PRKAR1B|IKBKB|DFFA|IKBKG,0.8833000064
KEGG_AXON_GUIDANCE,19.4,0.0031717172,NCK1|PAK2|NFATC3|NFATC2|PLXNC1|PAK4|SEMA4D|ARHGEF12|RGS3|PAK1|SRGAP2|DPYSL2|FYN|CXCR4|ABL1|PLXNA1|MAPK1|SEMA4B|CFL1|ABLIM1|LIMK1|GSK3B|PTK2|NFATC1|NCK2,4.7100000381
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,28,0.0800523189,SOS1|INPP5D|NFATC3|NFATC2|NFKB1|MAP2K2|JUN|CARD11|RAF1|MAPK1|PTPN6|PIK3R5|BCL10|LYN|GSK3B|RELA|PRKCB|AKT2|IKBKB|NFATC1|IKBKG,2.5239999294
KEGG_CALCIUM_SIGNALING_PATHWAY,10.7,0.0324422059,ITPR3|PRKCA|PHKA2|ITPR1|F2R|PTK2B|CAMK2D|PRKACA|ATP2A2|ITPKB|SPHK2|CYSLTR1|PLCD3|PLCB3|PRKCB|CAMK2G|VDAC1|VDAC2|CAMK4,3.0736000538
KEGG_CELL_CYCLE,38.4,0.0057901531,MCM3|YWHAZ|RB1|MCM4|ANAPC1|CDC26|SMC3|ABL1|EP300|RBL1|RBL2|SMAD3|CDK1|CDKN1B|CDK7|BUB1|MCM7|BUB1B|ORC1|CHEK1|STAG2|E2F1|TFDP2|CDKN1A|ANAPC2|WEE1|PRKDC|ZBTB17|CCNE2|PTTG1|ATM|GSK3B|MCM2|ORC6|ESPL1|TTK|CREBBP|HDAC1|SKP1|PKMYT1|ORC2|ANAPC4|DBF4|ANAPC5|CDC20|TFDP1|CCNB2|CDC23,-3.4021999836
KEGG_CHEMOKINE_SIGNALING_PATHWAY,16.4,0.0031717172,SOS1|DOCK2|PXN|NFKB1|PREX1|BRAF|PAK1|PTK2B|RAF1|CXCR4|MAPK1|PRKACA|STAT5B|PRKCD|STAT3|STAT1|PIK3R5|LYN|PARD3|PLCB3|JAK3|GSK3B|RELA|ARRB1|PRKCB|TIAM1|WAS|AKT2|PTK2|IKBKB|IKBKG,4.5536999702
KEGG_CHRONIC_MYELOID_LEUKEMIA,39.7,0.0356170599,SOS1|CBL|NFKB1|BAD|MAP2K2|ARAF|BRAF|GAB2|PTPN11|STAT5A|RB1|CBLB|RAF1|ABL1|MAPK1|STAT5B|SMAD3|CDKN1B|PIK3R5|E2F1|CDKN1A|BCR|RELA|HDAC1|AKT2|IKBKB|RUNX1|IKBKG|TGFBR2,2.8266000748
KEGG_COLORECTAL_CANCER,27.4,0.1654741877,BAD|ARAF|BRAF|JUN|RAF1|MAPK1|SMAD3|APC|PIK3R5|MLH1|CTNNB1|MSH6|GSK3B|AXIN1|AKT2|TGFBR2|APPL1,2.0144000053
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,4.2,0.5519282484,TNFRSF8|CXCR4|PLEKHO2|TNFRSF4|TNFRSF11A|IL10RB|IL3RA|ACVR2A|IFNAR2|IL17RA|TGFBR2,-0.9469000101
KEGG_DNA_REPLICATION,30.6,0.990045862,MCM3|POLA1|POLD3|MCM4|RFC1|LIG1|MCM7|POLA2|MCM2|RPA1|RNASEH1,0.0311999992
KEGG_ENDOCYTOSIS,24.3,0.1008932588,AGAP2|EPN1|RAB11FIP1|CBL|PSD4|ARFGAP1|ACAP1|ARFGAP2|SH3KBP1|IQSEC1|EPS15|USP8|ARAP1|VPS4B|F2R|CBLB|TSG101|GIT1|CXCR4|EHD1|PIKFYVE|RAB11FIP5|RABEP1|CHMP2B|EHD4|ARFGAP3|SRC|DNM1L|RAB11A|RAB11FIP2|ARAP2|PARD3|ACAP2|ARRB1|LDLRAP1|ARAP3|DNAJC6|DAB2|RAB5B|NEDD4L|ASAP1|VPS37A|RAB5C|CLTC,2.3141999245
KEGG_ENDOMETRIAL_CANCER,30.8,0.0193558329,SOS1|BAD|MAP2K2|ARAF|BRAF|RAF1|MAPK1|APC|ELK1|PIK3R5|MLH1|CTNNB1|PDPK1|GSK3B|AXIN1|AKT2,3.1960000992
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,20.6,0.0237734706,NFKB1|JUN|PTPN11|MAP2K4|PAK1|GIT1|SRC|LYN|ADAM10|ADAM17|RELA|IKBKB|IKBKG|MAPK14,3.1837999821
KEGG_ERBB_SIGNALING_PATHWAY,41.4,0.0031717172,SOS1|NCK1|PAK2|CBL|BAD|MAP2K2|ARAF|PRKCA|PAK4|BRAF|JUN|MAP2K4|PAK1|STAT5A|MTOR|CBLB|RAF1|ABL1|MAPK1|CAMK2D|STAT5B|MAP2K7|CDKN1B|ELK1|SRC|ABL2|PIK3R5|CDKN1A|EIF4EBP1|RPS6KB1|GSK3B|PRKCB|CAMK2G|AKT2|PTK2|NCK2,6.894299984
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,25.3,0.0401149792,SOS1|INPP5D|MAP2K2|PRKCA|LAT|GAB2|MAP2K4|FYN|RAF1|MAPK1|MAP2K7|MAP2K3|PRKCD|PIK3R5|LYN|PDPK1|PRKCB|AKT2|LCP2|MAPK14,2.8250999451
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,29.2,0.0308846673,DOCK2|VASP|INPP5D|WASF2|PRKCA|LAT|GAB2|PAK1|MARCKSL1|PTPRC|RAF1|PIKFYVE|MAPK1|PRKCD|CFL1|ARPC1B|PIK3R5|DNM1L|MARCKS|SPHK2|LYN|LIMK1|RPS6KB1|PRKCB|WAS|AKT2|ASAP1|ARPC5L,3.1105000973
KEGG_FOCAL_ADHESION,18.1,0.0031717172,SOS1|ARHGAP35|VASP|PPP1R12A|FLNA|PXN|PAK2|ZYX|BAD|MYL9|PRKCA|PAK4|BRAF|JUN|PAK1|PPP1CB|RAPGEF1|FYN|RAF1|PPP1CA|DIAPH1|MAPK1|ELK1|SRC|PIK3R5|FLNB|CTNNB1|PDPK1|TLN2|ITGA4|GSK3B|PRKCB|CAV1|AKT2|PTK2|ACTN4,7.3069000244
KEGG_GAP_JUNCTION,18.9,0.0057901531,SOS1|ITPR3|MAP2K2|PRKCA|MAP3K2|ITPR1|RAF1|MAPK1|PRKACA|CDK1|TUBB|TUBA1C|SRC|TUBB1|PLCB3|PRKCB|TUBA4A,3.7664999962
KEGG_GLIOMA,24.6,0.0243592131,SOS1|MAP2K2|ARAF|PRKCA|BRAF|RB1|MTOR|RAF1|MAPK1|CAMK2D|PIK3R5|E2F1|CDKN1A|PRKCB|CAMK2G|AKT2,2.8778998852
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,22.6,0.0717944028,ALDOC|PDHA1|TPI1|PGAM1|GAPDH|ALDOA|PFKP|ENO1|LDHA|PGM1|PGK1|GPI|PGM2|ACSS2,-2.5095999241
KEGG_GNRH_SIGNALING_PATHWAY,24.8,0.0031717172,SOS1|ITPR3|MAP2K2|PRKCA|MAP3K2|JUN|ITPR1|MAP2K4|PTK2B|MAP3K3|MAP3K4|RAF1|MAPK1|CAMK2D|PRKACA|MAP2K7|MAP2K3|PRKCD|ELK1|SRC|MAP3K1|PLCB3|PRKCB|CAMK2G|MAPK14,6.0640997887
KEGG_HEMATOPOIETIC_CELL_LINEAGE,12.6,0.0031717172,CD8A|CD5|CD3E|CD3G|CD3D|CD2|CD44|ITGA4|IL3RA|CD7|CD33,4.8425002098
KEGG_HUNTINGTONS_DISEASE,9.3,0.3789829417,DCTN4|ITPR1|EP300|CREB1|POLR2A|RCOR1|SIN3A|PLCB3|HTT|DCTN2|CREBBP|HDAC1|VDAC1|NDUFV3|NRF1|VDAC2|CLTC,-1.3243999481
KEGG_INOSITOL_PHOSPHATE_METABOLISM,22.2,0.6026675342,PI4KB|PIK3C2A|INPPL1|PIKFYVE|SYNJ1|INPP4A|PI4KA|TPI1|ITPKB|SYNJ2|PLCD3|PLCB3,-0.8378999829
KEGG_INSULIN_SIGNALING_PATHWAY,30.7,0.0031717172,PDE3B|SOS1|INPP5D|RPS6|CBL|BAD|PTPN1|PRKAB1|ACACA|TSC2|MAP2K2|ARAF|BRAF|FASN|PHKA2|MTOR|CBLB|PPP1CB|RAPGEF1|PRKAB2|RAF1|PPP1CA|RPTOR|MAPK1|PRKACA|GYS1|ELK1|PIK3R5|EIF4EBP1|IRS2|PDPK1|RPS6KB1|TSC1|GSK3B|MKNK1|PRKAR1A|FOXO1|AKT2|PRKAR1B|IKBKB|TRIP10|EXOC7,5.0689997673
KEGG_JAK_STAT_SIGNALING_PATHWAY,12.9,0.0960874317,SOS1|CBL|STAT4|PTPN11|STAT5A|CBLB|EP300|STAT5B|PIAS1|STAT3|PTPN6|STAT1|PIK3R5|JAK3|IL10RB|IL3RA|CREBBP|AKT2|IFNAR2|SPRY4,2.3615999222
KEGG_LEISHMANIA_INFECTION,20.8,0.0058529675,NFKB1|JUN|MARCKSL1|MAP3K7|MAPK1|TAB2|PTPN6|STAT1|ELK1|IRAK1|NCF4|ITGA4|RELA|PRKCB|MAPK14,3.5160000324
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,17.2,0.0057901531,ARHGAP35|VASP|PXN|MYL9|PRKCA|SIPA1|PTPN11|PTK2B|CXCR4|MSN|ITGAL|PIK3R5|CTNND1|NCF4|CTNNB1|ITGA4|PRKCB|PTK2|ACTN4|MAPK14,3.5334999561
KEGG_LONG_TERM_DEPRESSION,17.1,0.0031717172,ITPR3|MAP2K2|ARAF|PRKCA|BRAF|ITPR1|RAF1|MAPK1|PPP2CB|LYN|PLCB3|PRKCB,5.0074000359
KEGG_LONG_TERM_POTENTIATION,30,0.0031717172,RPS6KA1|PPP1R12A|ITPR3|RPS6KA3|MAP2K2|ARAF|PRKCA|BRAF|ITPR1|PPP1CB|RAF1|EP300|PPP1CA|MAPK1|CAMK2D|PRKACA|PLCB3|PRKCB|CAMK2G|CREBBP|CAMK4,6.6623001099
KEGG_LYSINE_DEGRADATION,22.7,0.2321467689,DOT1L|EHMT2|SETD2|NSD1|SUV39H1|SETDB1|SUV39H2|HADHA|EHMT1|SETD1A,-1.7676000595
KEGG_MAPK_SIGNALING_PATHWAY,21.7,0.0031717172,RPS6KA1|SOS1|STMN1|PTPN7|FLNA|JUND|PAK2|NFATC2|HSPB1|RPS6KA3|NFKB1|STK4|MAP4K2|MAP2K2|PRKCA|MAP3K2|NF1|MAP4K1|BRAF|JUN|TAOK1|MAP2K4|PAK1|MAP3K3|MAP3K4|RAF1|MAP3K7|STK3|MAPK1|PRKACA|TAB2|MAP4K4|MAP2K7|MAP2K3|ATF2|ELK4|ELK1|FLNB|MEF2C|DAXX|MAP3K1|RPS6KA4|RELB|RELA|ARRB1|MKNK1|PRKCB|MAP3K8|MAP3K12|AKT2|IKBKB|RAPGEF2|MAP3K11|RRAS2|IKBKG|MAPK14|TGFBR2|SRF,7.3252000809
KEGG_MELANOGENESIS,13.9,0.0031717172,MAP2K2|PRKCA|RAF1|EP300|CREB1|MAPK1|CAMK2D|PRKACA|CTNNB1|PLCB3|GSK3B|PRKCB|CAMK2G|CREBBP,3.8598001003
KEGG_MELANOMA,15.5,0.0283871745,BAD|MAP2K2|ARAF|BRAF|RB1|RAF1|MAPK1|PIK3R5|E2F1|CDKN1A|AKT2,3.1192998886
KEGG_MTOR_SIGNALING_PATHWAY,34.6,0.0031717172,RPS6KA1|RPS6|EIF4B|RPS6KA3|TSC2|BRAF|MTOR|RPTOR|MAPK1|ULK1|RICTOR|PIK3R5|STK11|EIF4EBP1|PDPK1|RPS6KB1|TSC1|AKT2,5.1873998642
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,20.4,0.0031717172,SOS1|CD247|HCST|NFATC3|NFATC2|LCK|MAP2K2|ARAF|PRKCA|LAT|BRAF|SH3BP2|PTPN11|PAK1|PTK2B|ZAP70|FYN|RAF1|MAPK1|PTPN6|ITGAL|KLRK1|PIK3R5|PRKCB|IFNAR2|NFATC1|LCP2|CD244,5.1139998436
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,27,0.0031717172,RPS6KA1|SOS1|RPS6KA3|NFKB1|BAD|MAP2K2|BRAF|JUN|YWHAZ|PTPN11|MAP3K3|RAPGEF1|RAF1|ABL1|MAPK1|CAMK2D|MAP2K7|PSEN1|PRKCD|PIK3R5|ARHGDIA|KIDINS220|IRAK1|IRS2|MAP3K1|PDPK1|RPS6KA4|GSK3B|RELA|CAMK2G|AKT2|IKBKB|CAMK4|MAPK14,4.204100132
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,21,0.2622942685,NFKB1|HSP90AA1|SUGT1|MAP3K7|MAPK1|TAB2|TNFAIP3|HSP90AB1|RELA|IKBKB|IKBKG|MAPK14|PSTPIP1,-1.6569999456
KEGG_NON_SMALL_CELL_LUNG_CANCER,29.6,0.0281757545,SOS1|BAD|STK4|MAP2K2|ARAF|PRKCA|BRAF|RB1|RAF1|MAPK1|PIK3R5|E2F1|PDPK1|PRKCB|AKT2|RASSF1,3.0064001083
KEGG_NOTCH_SIGNALING_PATHWAY,25.5,0.8773091008,DTX3L|NCOR2|NUMB|EP300|PSEN1|SNW1|NOTCH2|ADAM17|KAT2B|CREBBP|HDAC1|PSEN2,0.2827000022
KEGG_NUCLEOTIDE_EXCISION_REPAIR,29.5,0.9517895479,CUL4A|RAD23B|POLD3|RAD23A|RFC1|LIG1|CDK7|CUL4B|ERCC5|RPA1|DDB2|MNAT1|CETN2,0.0992000028
KEGG_OOCYTE_MEIOSIS,27.4,0.0031717172,RPS6KA1|PPP2R5D|PPP2R5C|ITPR3|RPS6KA3|YWHAZ|ITPR1|ANAPC1|SLK|CDC26|PPP1CB|SMC3|PPP1CA|MAPK1|CAMK2D|PRKACA|CDK1|BUB1|PPP2CB|ANAPC2|CCNE2|PTTG1|ESPL1|CAMK2G|SKP1|PKMYT1|ANAPC4|ANAPC5|CDC20|CCNB2|CDC23,4.0275001526
KEGG_P53_SIGNALING_PATHWAY,16.2,0.936913896,TSC2|GTSE1|RRM2|CDK1|CHEK1|CDKN1A|CCNE2|ATM|DDB2|EI24|CCNB2,0.1574999988
