"UniprotID","Name","Gene","Type","NumSubs","Activity","StdErr","ZScore","PValue","FDR"
"Q15418","p90RSK","RPS6KA1","Kinase","20","1.667","0.127","13.088","3.87e-39","8.75e-37"
"P08631","Hck","HCK","Kinase","2","1.274","0.102","12.466","1.14e-35","6.44e-34"
"P23458","JAK1","JAK1","Kinase","2","1.274","0.102","12.466","1.14e-35","6.44e-34"
"Q12866","Mer","MERTK","Kinase","2","1.274","0.102","12.466","1.14e-35","6.44e-34"
"P31749","Akt1","AKT1","Kinase","53","1.204","0.098","12.257","1.54e-34","6.96e-33"
"Q13153","PAK1","PAK1","Kinase","16","1.177","0.103","11.447","2.43e-30","7.96e-29"
"P17612","PKACA","PRKACA","Kinase","65","1.179","0.103","11.446","2.47e-30","7.96e-29"
"P36888","FLT3","FLT3","Kinase","1","1.601","0.144","11.114","1.07e-28","2.41e-27"
"P52333","JAK3","JAK3","Kinase","1","1.601","0.144","11.114","1.07e-28","2.41e-27"
"Q06187","Btk","BTK","Kinase","1","1.601","0.144","11.114","1.07e-28","2.41e-27"
"P28482","ERK2","MAPK1","Kinase","79","0.85","0.089","9.575","1.02e-21","2.10e-20"
"P27361","ERK1","MAPK3","Kinase","67","0.834","0.087","9.546","1.35e-21","2.53e-20"
"P10398","ARAF","ARAF","Kinase","1","1.082","0.114","9.458","3.12e-21","5.04e-20"
"P22694","PKACB","PRKACB","Kinase","1","1.082","0.114","9.458","3.12e-21","5.04e-20"
"O14578","CRIK","CIT","Kinase","1","1.421","0.151","9.436","3.89e-21","5.17e-20"
"Q14012","CAMK1A","CAMK1","Kinase","1","1.421","0.151","9.436","3.89e-21","5.17e-20"
"Q15746","smMLCK","MYLK","Kinase","1","1.421","0.151","9.436","3.89e-21","5.17e-20"
"Q13177","PAK2","PAK2","Kinase","10","1.597","0.172","9.292","1.51e-20","1.90e-19"
"O75116","ROCK2","ROCK2","Kinase","3","1.423","0.156","9.104","8.74e-20","1.04e-18"
"P17252","PKCA","PRKCA","Kinase","23","1.223","0.138","8.867","7.53e-19","8.51e-18"
"Q86V86","Pim3","PIM3","Kinase","4","0.943","0.107","8.815","1.20e-18","1.29e-17"
"P04629","TrkA","NTRK1","Kinase","1","0.946","0.113","8.351","6.78e-17","5.67e-16"
"P14618","PKM iso2","PKM","Kinase","1","0.946","0.113","8.351","6.78e-17","5.67e-16"
"P22455","FGFR4","FGFR4","Kinase","1","0.946","0.113","8.351","6.78e-17","5.67e-16"
"P22607","FGFR3","FGFR3","Kinase","1","0.946","0.113","8.351","6.78e-17","5.67e-16"
