"UniprotID","Name","Gene","Type","NumSubs","Activity","StdErr","ZScore","PValue","FDR"
"P78527","DNAPK","PRKDC","Kinase","6","1.839","0.168","10.929","8.35e-28","2.19e-25"
"P49137","MAPKAPK2","MAPKAPK2","Kinase","23","1.24","0.114","10.826","2.59e-27","3.39e-25"
"P27361","ERK1","MAPK3","Kinase","133","0.37","0.053","7.026","2.12e-12","1.85e-10"
"P46734","MKK3","MAP2K3","Kinase","3","0.791","0.114","6.952","3.59e-12","2.20e-10"
"Q13315","ATM","ATM","Kinase","26","0.774","0.112","6.931","4.19e-12","2.20e-10"
"Q16644","MAPKAPK3","MAPKAPK3","Kinase","3","1.16","0.17","6.819","9.14e-12","3.99e-10"
"Q99683","ASK1","MAP3K5","Kinase","4","0.769","0.114","6.769","1.29e-11","4.84e-10"
"P28482","ERK2","MAPK1","Kinase","152","0.347","0.053","6.522","6.92e-11","2.27e-9"
"Q9Y572","RIPK3","RIPK3","Kinase","1","0.936","0.149","6.297","3.03e-10","8.83e-9"
"P52564","MKK6","MAP2K6","Kinase","2","0.888","0.142","6.255","3.97e-10","1.04e-8"
"P10398","ARAF","ARAF","Kinase","2","0.402","0.066","6.088","1.14e-9","2.50e-8"
"P22694","PKACB","PRKACB","Kinase","2","0.402","0.066","6.088","1.14e-9","2.50e-8"
"O95382","MEKK6","MAP3K6","Kinase","3","0.826","0.136","6.069","1.29e-9","2.59e-8"
"P23443","p70S6K","RPS6KB1","Kinase","22","0.505","0.084","5.981","2.21e-9","4.14e-8"
"Q9UQM7","CAMK2A","CAMK2A","Kinase","13","0.805","0.138","5.818","5.96e-9","1.04e-7"
"P07949","Ret","RET","Kinase","7","0.509","0.09","5.676","1.38e-8","2.26e-7"
"O15264","P38D","MAPK13","Kinase","15","0.51","0.091","5.594","2.22e-8","3.28e-7"
"P17612","PKACA","PRKACA","Kinase","108","0.369","0.066","5.591","2.26e-8","3.28e-7"
"Q15418","p90RSK","RPS6KA1","Kinase","28","0.459","0.084","5.486","4.12e-8","5.68e-7"
"Q13131","AMPKA1","PRKAA1","Kinase","41","0.53","0.097","5.439","5.35e-8","7.01e-7"
"Q96GD4","AurB","AURKB","Kinase","47","0.526","0.098","5.388","7.12e-8","8.88e-7"
"Q13237","PKG2","PRKG2","Kinase","3","0.731","0.136","5.377","7.59e-8","9.03e-7"
"Q9H4B4","PLK3","PLK3","Kinase","3","0.442","0.083","5.351","8.76e-8","9.98e-7"
"Q16539","P38A","MAPK14","Kinase","44","0.389","0.073","5.326","1.00e-7","0.00000110"
"O14965","AurA","AURKA","Kinase","22","0.652","0.123","5.307","1.12e-7","0.00000117"
"Q9UK32","RSK4","RPS6KA6","Kinase","1","0.32","0.063","5.112","3.19e-7","0.00000310"
"Q9Y4K4","KHS1","MAP4K5","Kinase","1","0.32","0.063","5.112","3.19e-7","0.00000310"
"O14757","Chk1","CHEK1","Kinase","50","0.643","0.127","5.08","3.77e-7","0.00000353"
"P31749","Akt1","AKT1","Kinase","90","0.307","0.061","5.043","4.59e-7","0.00000415"
"P04629","TrkA","NTRK1","Kinase","1","0.41","0.083","4.922","8.56e-7","0.00000623"
"P08631","Hck","HCK","Kinase","1","0.41","0.083","4.922","8.56e-7","0.00000623"
"P14618","PKM iso2","PKM","Kinase","1","0.41","0.083","4.922","8.56e-7","0.00000623"
"P22455","FGFR4","FGFR4","Kinase","1","0.41","0.083","4.922","8.56e-7","0.00000623"
"P22607","FGFR3","FGFR3","Kinase","1","0.41","0.083","4.922","8.56e-7","0.00000623"
"P23458","JAK1","JAK1","Kinase","1","0.41","0.083","4.922","8.56e-7","0.00000623"
"Q15300","Ret iso3","RET","Kinase","1","0.41","0.083","4.922","8.56e-7","0.00000623"
"P54646","AMPKA2","PRKAA2","Kinase","14","0.656","0.134","4.902","9.50e-7","0.00000649"
"Q15119","PDHK2","PDK2","Kinase","3","0.768","0.157","4.894","9.90e-7","0.00000649"
"Q15120","PDHK3","PDK3","Kinase","3","0.768","0.157","4.894","9.90e-7","0.00000649"
"Q16654","PDHK4","PDK4","Kinase","3","0.768","0.157","4.894","9.90e-7","0.00000649"
"Q86V86","Pim3","PIM3","Kinase","7","0.355","0.08","4.439","0.00000905","0.0000578"
"P45983","JNK1 iso2","MAPK8","Kinase","32","0.363","0.082","4.422","0.00000978","0.0000610"
"P16591","Fer","FER","Kinase","2","0.374","0.085","4.398","0.0000109","0.0000666"
"Q15118","PDHK1","PDK1","Kinase","4","0.637","0.146","4.349","0.0000137","0.0000815"
"O00418","EEF2K","EEF2K","Kinase","7","0.911","0.212","4.307","0.0000165","0.0000962"
"P45985","MKK4","MAP2K4","Kinase","6","0.601","0.141","4.26","0.0000205","0.000117"
"O60674","JAK2","JAK2","Kinase","3","0.367","0.087","4.222","0.0000242","0.000135"
"Q13535","ATR","ATR","Kinase","16","0.549","0.131","4.191","0.0000278","0.000152"
"P31751","Akt2","AKT2","Kinase","27","0.364","0.088","4.145","0.0000340","0.000182"
"P36507","MEK2","MAP2K2","Kinase","4","0.42","0.103","4.075","0.0000461","0.000241"
"P53778","P38G","MAPK12","Kinase","11","0.451","0.111","4.07","0.0000471","0.000242"
"P06493","CDK1","CDK1","Kinase","269","0.197","0.049","4.014","0.0000597","0.000300"
"Q9UHD2","TBK1","TBK1","Kinase","8","0.53","0.132","4.01","0.0000607","0.000300"
"P42345","mTOR","MTOR","Kinase","56","0.337","0.085","3.97","0.0000718","0.000349"
"P41279","Cot","MAP3K8","Kinase","7","0.416","0.106","3.934","0.0000835","0.000398"
"P68400","CK2A1","CSNK2A1","Kinase","39","0.43","0.111","3.87","0.000109","0.000508"
"Q9P1W9","Pim2","PIM2","Kinase","5","0.347","0.092","3.782","0.000156","0.000706"
"Q9Y243","Akt3","AKT3","Kinase","11","0.372","0.098","3.781","0.000156","0.000706"
"Q13976","PKG1 iso2","PRKG1","Kinase","8","0.603","0.161","3.756","0.000173","0.000766"
"Q8N752","CK1A2","CSNK1A1L","Kinase","1","0.477","0.127","3.747","0.000179","0.000781"
"P53779","JNK3","MAPK10","Kinase","8","0.347","0.094","3.688","0.000226","0.000970"
"P17252","PKCA","PRKCA","Kinase","51","0.314","0.085","3.674","0.000239","0.00101"
"O14920","IKKB","IKBKB","Kinase","7","0.657","0.181","3.639","0.000274","0.00114"
"Q8TD08","ERK7","MAPK15","Kinase","1","0.42","0.116","3.625","0.000289","0.00117"
"Q99986","VRK1","VRK1","Kinase","1","0.42","0.116","3.625","0.000289","0.00117"
"O43781","DYRK3","DYRK3","Kinase","2","0.905","0.254","3.561","0.000369","0.00147"
"Q13554","CAMK2B","CAMK2B","Kinase","7","0.539","0.153","3.522","0.000428","0.00167"
"O15111","IKKA","CHUK","Kinase","5","0.622","0.178","3.493","0.000478","0.00184"
"Q15759","P38B","MAPK11","Kinase","10","0.382","0.112","3.401","0.000672","0.00255"
"P05129","PKCG","PRKCG","Kinase","4","0.583","0.173","3.365","0.000765","0.00286"
"P05771","PKCB iso2","PRKCB","Kinase","8","0.31","0.095","3.282","0.00103","0.00380"
"Q02750","MEK1","MAP2K1","Kinase","6","0.286","0.088","3.263","0.00110","0.00396"
"Q16512","PKN1","PKN1","Kinase","4","0.567","0.174","3.259","0.00112","0.00396"
"Q12866","Mer","MERTK","Kinase","2","0.549","0.169","3.259","0.00112","0.00396"
"P53350","PLK1","PLK1","Kinase","36","0.346","0.106","3.255","0.00113","0.00396"
"Q00534","CDK6","CDK6","Kinase","22","0.28","0.086","3.243","0.00118","0.00408"
"Q15746","smMLCK","MYLK","Kinase","1","0.372","0.115","3.225","0.00126","0.00428"
"Q7KZI7","MARK2","MARK2","Kinase","16","0.419","0.133","3.156","0.00160","0.00537"
"Q05655","PKCD","PRKCD","Kinase","28","0.274","0.089","3.087","0.00203","0.00672"
"P11802","CDK4","CDK4","Kinase","31","0.272","0.09","3.032","0.00243","0.00796"
"Q9UGJ0","AMPKG2","PRKAG2","Kinase","2","0.713","0.236","3.019","0.00253","0.00819"
"Q9Y478","AMPKB1","PRKAB1","Kinase","1","0.987","0.328","3.008","0.00263","0.00840"
"Q9P0L2","MARK1","MARK1","Kinase","4","1.104","0.37","2.979","0.00289","0.00913"
"Q9UBE8","NLK","NLK","Kinase","4","0.561","0.189","2.968","0.00299","0.00934"
"O75582","MSK1","RPS6KA5","Kinase","9","0.364","0.123","2.953","0.00314","0.00969"
"P04049","RAF1","RAF1","Kinase","7","0.265","0.091","2.908","0.00364","0.0111"
"P51812","RSK2","RPS6KA3","Kinase","14","0.332","0.115","2.879","0.00399","0.0120"
"P15056","BRAF","BRAF","Kinase","7","0.375","0.133","2.815","0.00488","0.0145"
"O96017","Chk2","CHEK2","Kinase","6","0.467","0.166","2.811","0.00494","0.0145"
"Q14004","CDK13","CDK13","Kinase","7","0.388","0.139","2.789","0.00529","0.0154"
"P00558","PGK1","PGK1","Kinase","2","0.401","0.145","2.765","0.00570","0.0164"
"Q07002","CDK18","CDK18","Kinase","2","0.262","0.095","2.749","0.00598","0.0170"
"P49336","CDK8","CDK8","Kinase","3","0.791","0.29","2.729","0.00636","0.0179"
"Q9H4A3","WNK1","WNK1","Kinase","6","0.605","0.223","2.717","0.00658","0.0183"
"P49841","GSK3B","GSK3B","Kinase","57","0.215","0.079","2.712","0.00670","0.0185"
"O95835","LATS1","LATS1","Kinase","4","0.465","0.172","2.705","0.00684","0.0187"
"Q13043","MST1","STK4","Kinase","4","0.656","0.244","2.691","0.00713","0.0193"
"Q15831","LKB1","STK11","Kinase","3","0.679","0.258","2.633","0.00846","0.0224"
"Q92630","DYRK2","DYRK2","Kinase","10","0.416","0.158","2.632","0.00848","0.0224"
"Q9H2X6","HIPK2","HIPK2","Kinase","16","0.436","0.166","2.625","0.00867","0.0227"
"Q14012","CAMK1A","CAMK1","Kinase","4","0.567","0.217","2.617","0.00888","0.0230"
"O14733","MKK7","MAP2K7","Kinase","3","0.541","0.208","2.605","0.00918","0.0235"
"Q9UBS0","P70S6KB","RPS6KB2","Kinase","4","0.47","0.18","2.603","0.00923","0.0235"
"Q16566","CAMK4","CAMK4","Kinase","3","0.421","0.164","2.565","0.0103","0.0260"
"P45984","JNK2 iso2","MAPK9","Kinase","13","0.197","0.077","2.546","0.0109","0.0272"
"P50613","CDK7","CDK7","Kinase","15","0.257","0.103","2.506","0.0122","0.0302"
"Q05513","PKCZ","PRKCZ","Kinase","19","0.211","0.085","2.492","0.0127","0.0311"
"O43318","TAK1","MAP3K7","Kinase","8","0.401","0.161","2.487","0.0129","0.0312"
"P11309","Pim1","PIM1","Kinase","16","0.282","0.114","2.47","0.0135","0.0323"
"P49674","CK1E","CSNK1E","Kinase","3","0.281","0.114","2.469","0.0136","0.0323"
"P51813","Etk","BMX","Kinase","2","0.467","0.19","2.458","0.0140","0.0329"
"O94806","PRKD3","PRKD3","Kinase","3","0.395","0.162","2.441","0.0147","0.0343"
"P41743","PKCI","PRKCI","Kinase","14","0.321","0.132","2.435","0.0149","0.0345"
"Q8TDC3","BRSK1","BRSK1","Kinase","1","0.33","0.136","2.433","0.0150","0.0345"
"Q9UM73","ALK","ALK","Kinase","3","0.752","0.31","2.427","0.0152","0.0347"
"O75385","ULK1","ULK1","Kinase","8","0.406","0.167","2.422","0.0154","0.0349"
"P24723","PKCH","PRKCH","Kinase","2","0.404","0.17","2.377","0.0175","0.0391"
"P33981","TTK","TTK","Kinase","6","0.423","0.179","2.362","0.0182","0.0404"
"Q86Y07","VRK2","VRK2","Kinase","3","-0.889","0.379","-2.344","0.0191","0.0420"
"Q14680","MELK","MELK","Kinase","4","0.552","0.238","2.323","0.0202","0.0441"
"P00533","EGFR","EGFR","Kinase","5","0.354","0.154","2.292","0.0219","0.0475"
"Q99759","MEKK3","MAP3K3","Kinase","2","0.374","0.163","2.287","0.0222","0.0476"
