"UniprotID","Name","Gene","Type","NumSubs","Activity","StdErr","ZScore","PValue","FDR"
"P78527","DNAPK","PRKDC","Kinase","11","1.119","0.127","8.83","1.05e-18","2.66e-16"
"Q96GD4","AurB","AURKB","Kinase","47","0.745","0.091","8.213","2.15e-16","2.73e-14"
"Q13315","ATM","ATM","Kinase","36","0.644","0.09","7.174","7.27e-13","6.16e-11"
"P49137","MAPKAPK2","MAPKAPK2","Kinase","25","0.591","0.101","5.883","4.03e-9","2.56e-7"
"O14965","AurA","AURKA","Kinase","27","0.431","0.104","4.152","0.0000330","0.00168"
"Q13976","PKG1 iso2","PRKG1","Kinase","9","0.529","0.142","3.716","0.000203","0.00397"
"P04629","TrkA","NTRK1","Kinase","1","0.289","0.078","3.715","0.000203","0.00397"
"P08631","Hck","HCK","Kinase","1","0.289","0.078","3.715","0.000203","0.00397"
"P22455","FGFR4","FGFR4","Kinase","1","0.289","0.078","3.715","0.000203","0.00397"
"P22607","FGFR3","FGFR3","Kinase","1","0.289","0.078","3.715","0.000203","0.00397"
"P23458","JAK1","JAK1","Kinase","1","0.289","0.078","3.715","0.000203","0.00397"
"Q12866","Mer","MERTK","Kinase","1","0.289","0.078","3.715","0.000203","0.00397"
"Q15300","Ret iso3","RET","Kinase","1","0.289","0.078","3.715","0.000203","0.00397"
"P27361","ERK1","MAPK3","Kinase","125","0.168","0.051","3.33","0.000867","0.0157"
"O75116","ROCK2","ROCK2","Kinase","6","-0.387","0.123","-3.148","0.00165","0.0278"
"Q16644","MAPKAPK3","MAPKAPK3","Kinase","3","0.498","0.159","3.129","0.00175","0.0278"
"O95382","MEKK6","MAP3K6","Kinase","2","0.374","0.133","2.812","0.00493","0.0696"
"P52564","MKK6","MAP2K6","Kinase","2","0.374","0.133","2.812","0.00493","0.0696"
"Q16584","MLK3","MAP3K11","Kinase","3","-0.536","0.203","-2.645","0.00818","0.103"
"P45984","JNK2 iso2","MAPK9","Kinase","14","0.201","0.076","2.636","0.00839","0.103"
"Q13177","PAK2","PAK2","Kinase","16","-0.275","0.104","-2.632","0.00848","0.103"
"P28482","ERK2","MAPK1","Kinase","154","0.118","0.05","2.345","0.0190","0.212"
"O14920","IKKB","IKBKB","Kinase","8","0.396","0.169","2.341","0.0192","0.212"
"P14618","PKM iso2","PKM","Kinase","2","0.159","0.068","2.323","0.0202","0.214"
"Q13131","AMPKA1","PRKAA1","Kinase","37","0.205","0.09","2.277","0.0228","0.223"
"Q15139","PRKD1","PRKD1","Kinase","23","-0.295","0.131","-2.263","0.0236","0.223"
"Q9Y572","RIPK3","RIPK3","Kinase","1","0.314","0.139","2.263","0.0237","0.223"
"P50750","CDK9","CDK9","Kinase","18","-0.244","0.113","-2.158","0.0310","0.281"
"Q15208","NDR1","STK38","Kinase","5","-0.427","0.209","-2.043","0.0410","0.334"
"P06493","CDK1","CDK1","Kinase","264","0.095","0.047","2.018","0.0436","0.334"
"Q6P2M8","CAMK1B","PNCK","Kinase","1","1.235","0.612","2.017","0.0437","0.334"
"P31749","Akt1","AKT1","Kinase","88","-0.116","0.057","-2.014","0.0440","0.334"
"Q9H4B4","PLK3","PLK3","Kinase","3","0.155","0.078","1.999","0.0456","0.334"
"Q9UQM7","CAMK2A","CAMK2A","Kinase","11","0.278","0.14","1.991","0.0465","0.334"
