"Cohort","Cancer","Subtype","Survival","CTL Cor","T Dysfunction","Risk","Risk.adj","Count"
"E-MTAB-3267","Kidney","Clear","PFS","0.908","4.8","0.791","-0.988","53"
"GSE11969","Lung","Adeno","OS","0.332","2.707","-1.188","-0.946","91"
"GSE22153","Melanoma","","OS","0.852","2.666","-1.148","0.442","54"
"Gide2019_PD1+CTLA4","Melanoma","","PFS","0.874","2.655","-1.341","-0.126","32"
"GSE12417_GPL570","Leukemia","AML","OS","0.503","2.64","-1.15","0.035","79"
"GSE21653","Breast","Basal","DFS","0.837","2.591","-2.951","-1.651","74"
"TCGA","Melanoma","Primary","OS","0.735","2.355","-0.959","-0.596","98"
"Miao2018_ICB","Kidney","Clear","PFS","0.741","2.329","2.169","1.662","33"
"GSE12417_GPL96","Leukemia","AML","OS","0.329","2.273","0.23","0.66","163"
"Gide2019_PD1+CTLA4","Melanoma","","OS","0.874","2.226","-0.567","0.46","32"
"TCGA","Liver","","OS","0.732","2.165","-0.222","0.758","346"
"TCGA","Melanoma","","OS","0.825","1.995","-3.275","-1.079","413"
"TCGA","Kidney","Clear","OS","0.833","1.893","0.129","-0.623","529"
"GSE11969@PRECOG","Lung","Adeno,Large,Squamous","OS","0.263","1.883","-0.434","-0.162","149"
"TCGA","Melanoma","Metastatic","OS","0.826","1.814","-2.917","-0.623","317"
"Liu2019_PD1","Melanoma","Ipi_Prog","OS","0.66","1.721","-0.473","0.754","47"
"GSE21501@PRECOG","Pancreatic","","OS","0.65","1.668","1.043","1.282","102"
"GSE11969","Lung","","OS","0.263","1.599","-1.101","-0.626","158"
"GSE17260@PRECOG","Ovarian","","OS","0.678","1.575","-1.347","-0.839","110"
"GSE12945@PRECOG","Colorectal","","OS","0.569","1.53","0.642","0.833","62"
"GSE5314@PRECOG","Leukemia","BALL","OS","0.015","1.527","-1.561","-1.584","53"
"Lauss2017_ACT","Melanoma","","PFS","0.856","1.52","-0.793","-0.314","25"
"GSE10245@PRECOG","Lung","Adeno,Squamous","OS","0.69","1.498","-1.649","-0.879","58"
"GSE21653","Breast","TN","DFS","0.859","1.492","-2.896","-0.808","84"
"Roepman_LungCancer@PRECOG","Lung","Adeno,Large,Squamous","OS","0.675","1.463","-1.374","-0.786","157"
"TCGA","Head Neck","HPVneg","OS","0.769","1.447","-2.258","-1.85","243"
"GSE12945","Colorectal","","OS","0.683","1.397","1.023","0.976","62"
"TCGA","Endometrial","","OS","0.752","1.224","-1.109","-1.112","541"
"GSE49997","Ovary","","OS","0.193","1.131","0.024","-0.103","194"
"GSE17260","Ovary","","OS","0.678","1.109","-1.109","-0.393","110"
"Miao2018_ICB","Kidney","Clear","OS","0.741","1.088","-0.653","-0.949","33"
"TCGA","Leukemia","AML","OS","0.521","1.034","0.508","0.101","161"
"GSE9899@PRECOG","Ovarian","","OS","0.217","1.021","-0.929","-0.882","278"
"GSE10846","Lymphoma","DLBC","OS","0.821","1.006","-1.957","-1.554","388"
"TCGA","Lung","Adeno","OS","0.781","0.981","-1.943","-2.541","487"
"GSE29013@PRECOG","Lung","Adeno,Squamous","OS","0.451","0.78","3.055","2.761","55"
"Riaz2017_PD1","Melanoma","Ipi_Prog","PFS","0.809","0.779","-1.492","-0.496","26"
"Riaz2017_PD1","Melanoma","Ipi_Naive","OS","0.68","0.725","-0.413","-0.263","25"
"GSE7390@PRECOG","Breast","","OS","0.557","0.717","-1.096","-0.949","198"
"E-MTAB-179","Brain","Neuroblastoma","OS","0.724","0.675","-1.871","-1.749","389"
"TCGA","Bladder","","OS","0.707","0.617","-0.049","-0.683","403"
"TCGA","Head Neck","HPVpos","OS","0.887","0.614","-1.297","-1.502","36"
"Liu2019_PD1","Melanoma","Ipi_Prog","PFS","0.66","0.595","-0.817","0.837","47"
"GSE1993@PRECOG","Brain","Glioblastoma,Astrocytoma","OS","0.117","0.579","0.861","0.812","60"
"GSE13213@PRECOG","Lung","Adeno","OS","0.626","0.57","-0.068","0.1","117"
"GSE22762_GPL570@PRECOG","Leukemia","CLL","OS","0.601","0.551","-4.202","-3.796","107"
"TCGA","Ovarian","","OS","0.394","0.541","-1.173","-0.674","562"
"TCGA","Brain","Glioma","OS","0.162","0.534","-0.154","-0.365","513"
"GSE17537","Colorectal","","OS","0.814","0.53","2.685","1.726","55"
"GSE59455","Melanoma","","OS","0.563","0.525","-1.2","-0.532","122"
"METABRIC","Breast","TN","OS","0.131","0.516","-0.909","-0.665","233"
"GSE51088","Ovary","","OS","0.474","0.509","0.722","-0.1","84"
"GSE8842@PRECOG","Ovarian","","OS","0.358","0.499","0.482","0.678","83"
"GSE54236","Liver","","OS","0.818","0.478","0.416","0.775","81"
"GSE16446@PRECOG","Breast","","OS","0.874","0.473","-0.914","0.513","107"
"GSE3143@PRECOG","Breast","","OS","0.504","0.463","-0.075","-0.397","158"
"TCGA","Ovarian","","OS","0.176","0.461","-0.082","0.045","301"
"GSE24080@PRECOG","Myeloma","Multiple","OS","0.194","0.456","0.011","-0.064","553"
"GSE39582","Colorectal","","OS","0.654","0.446","-0.769","0.681","562"
"GSE42127","Lung","","OS","0.102","0.437","-1.003","-0.995","175"
"TCGA","Head Neck","","OS","0.753","0.431","-2.868","-2.205","513"
"GSE10846@PRECOG","Lymphoma","DLBC","OS","0.648","0.424","-1.664","-2.129","414"
"VanAllen2015_CTLA4","Melanoma","","OS","0.766","0.417","-1.665","0.449","42"
"GSE16131@PRECOG","Lymphoma","Follicular","OS","0.735","0.41","-0.521","-2.223","180"
"Lauss2017_ACT","Melanoma","","OS","0.856","0.408","-0.669","-0.452","25"
"VanAllen2015_CTLA4","Melanoma","","PFS","0.766","0.291","-0.771","1.428","42"
"GSE11877@PRECOG","Leukemia","BALL","OS","0.162","0.255","-0.38","-0.537","207"
"GSE7696@PRECOG","Brain","Glioblastoma","OS","0.547","0.246","-0.671","0.221","80"
"TCGA","Stomach","","OS","0.787","0.235","-0.253","-0.358","378"
"METABRIC","Breast","Basal","OS","0.09","0.223","-1.387","-1.257","232"
"GSE13213","Lung","Adeno","OS","0.65","0.219","0.19","0.507","115"
"GSE69031","Breast","","OS","0.774","0.198","0.459","0.278","115"
"GSE13213","Lung","","OS","0.644","0.18","0.19","0.518","115"
"GSE29621","Colorectal","","OS","0.804","0.174","-1.035","-0.358","65"
"GSE71014","Leukemia","AML","OS","0.077","0.171","-0.389","-0.357","104"
"GSE71187","Colorectal","","OS","0.637","0.161","0.642","1.346","52"
"GSE14468@PRECOG","Leukemia","AML","OS","0.441","0.146","-0.415","-0.503","262"
"TCGA","Sarcoma","","OS","0.756","0.135","-0.937","1.318","258"
"GSE4475","Lymphoma","DLBC","OS","0.62","0.13","-2.519","-1.708","109"
"METABRIC","Breast","LumA","OS","-0.009","0.125","-0.585","-0.606","553"
"GSE37745","Lung","","OS","0.726","0.123","-1.2","-1.451","196"
"GSE20486@PRECOG","Breast","","OS","0.272","0.102","0.295","-0.087","97"
"GSE10358","Leukemia","AML","OS","0.464","0.088","0.487","1.564","175"
"GSE29174@PRECOG","Breast","","OS","0.18","0.049","0.069","0.307","96"
"Zhao2019_PD1","Glioblastoma","Post","OS","0.504","0.039","-0.101","-0.098","9"
"Zhao2019_PD1","Glioblastoma","Post","PFS","0.504","0.035","-1.989","-0.056","9"
"GSE18521@PRECOG","Ovarian","","OS","0.636","0.031","-0.975","-0.897","53"
"GSE4271@PRECOG","Brain","Astrocytoma","OS","0.541","0.03","-1.166","-1.549","77"
"GSE41271","Lung","","OS","0.115","0.026","-2.021","-1.949","258"
"GSE3494@PRECOG","Breast","","OS","0.827","0.012","-0.204","-0.14","251"
"GSE13507@PRECOG","Bladder","","OS","0.087","0.009","0.339","0.343","165"
"TCGA","Esophageal","","OS","0.781","-0.002","-0.078","-0.323","160"
"Nathanson2017_CTLA4","Melanoma","Post","OS","0.948","-0.005","-2.096","-1.612","15"
"GSE17536","Colorectal","","OS","0.692","-0.023","-0.687","-0.241","177"
"GSE6477@PRECOG","Myeloma","Multiple","OS","0.167","-0.035","-0.625","-0.603","146"
"GSE50081","Lung","","DFS","0.667","-0.04","-0.11","-0.464","177"
"GSE13876@PRECOG","Ovarian","","OS","-0.007","-0.043","0.447","0.288","415"
"GSE8401@PRECOG","Melanoma","Metastatic","OS","0.652","-0.054","-0.994","0.422","67"
"GSE9782@PRECOG","Myeloma","Multiple","OS","0.145","-0.066","-2.006","-1.981","264"
"Mariathasan2018_PDL1","Bladder","mUC","OS","0.801","-0.077","-2.33","-1.034","348"
"GSE24450@PRECOG","Breast","","OS","0.318","-0.091","-0.967","-1.263","183"
"Monti_DLBCL@PRECOG","Lymphoma","DLBC","OS","0.398","-0.098","1.199","0.276","129"
"GSE50081","Lung","","OS","0.675","-0.099","0.877","-0.177","181"
"Thurlow_HNSCC@PRECOG","Head Neck","","OS","0.752","-0.103","-1.843","-1.193","74"
"GSE10885@PRECOG","Breast","","OS","0.593","-0.122","-0.175","0.212","52"
"GSE4412@PRECOG","Brain","Astrocytoma","OS","0.216","-0.141","0.364","0.015","85"
"GSE10886@PRECOG","Breast","","OS","0.393","-0.18","-0.871","-0.226","178"
"GSE27020","Head Neck","","DFS","0.603","-0.182","-1.198","-1.045","107"
"GSE14814","Lung","Adeno","OS","0.55","-0.216","-0.023","0.55","71"
"GSE32062","Ovary","","OS","0.748","-0.217","-2.5","-0.414","260"
"GSE5828@PRECOG","Lung","Squamous","OS","0.303","-0.224","-2.048","-2.203","59"
"Liu2019_PD1","Melanoma","Ipi_Naive","OS","0.78","-0.229","-1.127","-1.646","74"
"GSE31684","Bladder","","OS","0.737","-0.23","1.027","1.988","93"
"TCGA","Colorectal","","OS","0.705","-0.244","0.383","0.284","597"
"TCGA","Breast","LumA","OS","0.903","-0.247","-0.037","0.329","220"
"TCGA","Brain","Glioblastoma","OS","0.762","-0.318","1.505","0.283","158"
"GSE19783@PRECOG","Breast","","OS","0.868","-0.319","-0.75","-0.956","112"
"GSE21653","Breast","","DFS","0.827","-0.326","-3.087","-1.365","231"
"GSE30219","Lung","","OS","0.792","-0.326","-1.115","-0.823","263"
"GSE3149@PRECOG","Ovarian","","OS","0.388","-0.333","0.022","0.483","133"
"GSE10885@PRECOG","Breast","","OS","0.371","-0.353","-0.248","0.138","93"
"E-TABM-346@PRECOG","Lymphoma","DLBC","OS","0.535","-0.354","0.88","1.149","53"
"GSE26712@PRECOG","Ovarian","","OS","0.429","-0.365","-0.34","-0.051","185"
"GSE31245@PRECOG","Ovarian","","OS","0.14","-0.378","-1.354","-1.344","57"
"GSE21653","Breast","LumA","DFS","0.869","-0.385","-0.547","-0.237","75"
"GSE26712","Ovary","","OS","0.427","-0.39","-0.327","-0.081","182"
"TCGA","Breast","LumB","OS","0.893","-0.391","-0.191","-0.7","120"
"GSE65904","Melanoma","","OS","0.692","-0.393","-2.269","0.959","203"
"Zhao2019_PD1","Glioblastoma","Pre","PFS","0.699","-0.395","-1.354","-2.148","15"
"TCGA","Lung","Squamous","OS","0.844","-0.439","-0.271","-0.684","484"
"TCGA","Breast","Basal","OS","0.913","-0.458","-0.927","0.697","94"
"GSE38832","Colorectal","","OS","0.737","-0.467","0.069","0.244","122"
"ca00191@PRECOG","Lung","Adeno","OS","0.099","-0.474","-0.745","-0.78","125"
"GSE8894@PRECOG","Lung","Adeno,Squamous","OS","0.712","-0.481","-1.274","-0.642","138"
"ca00119@PRECOG","Leukemia","AML","OS","0.054","-0.505","0.839","1.044","169"
"GSE31210@PRECOG","Lung","Adeno","OS","0.627","-0.508","-0.228","-0.521","226"
"GSE8401","Melanoma","","OS","0.763","-0.512","-1.389","-0.353","66"
"GSE63885","Ovary","","OS","0.492","-0.516","-0.566","-0.488","70"
"Zhao2019_PD1","Glioblastoma","Pre","OS","0.699","-0.523","-1.146","-1.498","15"
"GSE16581@PRECOG","Brain","Meningioma","OS","0.655","-0.528","-1.304","-1.248","67"
"Nutt_Glioma@PRECOG","Brain","Glioma","OS","0.427","-0.565","-0.354","0.056","50"
"Liu2019_PD1","Melanoma","Ipi_Naive","PFS","0.78","-0.586","-1.437","-1.476","74"
"GSE1898@PRECOG","Liver","","OS","-0.023","-0.629","1.368","1.368","76"
"TCGA","Breast","","OS","0.87","-0.632","-1.35","-0.048","922"
"Gide2019_PD1","Melanoma","","PFS","0.893","-0.652","-3.069","-0.117","41"
"GSE31519","Breast","TN","EFS","0.714","-0.711","-1.231","-0.19","62"
"GSE14333","Colorectal","","DFS","0.714","-0.717","-0.36","0.667","226"
"GSE14764@PRECOG","Ovarian","","OS","0.641","-0.719","0.039","0.613","80"
"METABRIC","Breast","LumB","OS","0.032","-0.74","-0.321","-0.26","363"
"Hugo2016_PD1","Melanoma","","OS","0.718","-0.769","2.203","2.488","25"
"GSE5123@PRECOG","Lung","Squamous","OS","0.24","-0.788","-0.424","-0.616","51"
"GSE1159","Leukemia","AML","OS","0.396","-0.793","-0.472","-0.296","260"
"ca00182@PRECOG","Lung","Adeno","OS","0.499","-0.815","1.527","1.033","442"
"GSE17536@PRECOG","Colorectal","","OS","0.504","-0.816","-1.763","-1.611","177"
"GSE19188@PRECOG","Lung","Adeno,Large,Squamous","OS","0.798","-0.83","-0.117","0.583","82"
"Riaz2017_PD1","Melanoma","Ipi_Naive","PFS","0.68","-0.831","0.044","-0.308","25"
"GSE3141@PRECOG","Lung","Adeno,Squamous","OS","0.591","-0.833","-1.814","-1.272","111"
"Riaz2017_PD1","Melanoma","Ipi_Prog","OS","0.809","-0.837","-0.618","0.048","26"
"GSE58812","Breast","TN","OS","0.902","-0.863","-2.606","-0.6","107"
"TCGA","Pancreatic","","OS","0.87","-0.863","-0.666","-0.568","174"
"GSE4475@PRECOG","Lymphoma","Burkitt,DLBC","OS","0.429","-0.875","-0.82","-0.746","159"
"GSE13041@PRECOG","Brain","Glioblastoma","OS","0.272","-0.876","0.449","0.552","191"
"TCGA","Uveal","","OS","0.644","-0.977","3.091","1.675","67"
"ca00037@PRECOG","Brain","Glioma","OS","0.071","-1.021","-0.791","-0.604","147"
"GSE16011@PRECOG","Brain","Glioma","OS","-0.009","-1.088","-1.058","-1.346","263"
"GSE1456@PRECOG","Breast","","OS","0.673","-1.117","-1.034","0.102","159"
"Gide2019_PD1","Melanoma","","OS","0.893","-1.131","-2.546","-0.734","41"
"TCGA","Breast","Her2","OS","0.924","-1.149","-0.054","0.187","56"
"GSE26549","Head Neck","","DFS","0.879","-1.153","-0.271","-0.436","86"
"GSE1427@PRECOG","Leukemia","AML","OS","0.366","-1.173","-1.577","-0.589","98"
"TCGA","Cervical","","OS","0.805","-1.207","-2.631","-1.378","296"
"GSE9893@PRECOG","Breast","","OS","-0.292","-1.215","0.223","-0.41","148"
"Nathanson2017_CTLA4","Melanoma","Pre","OS","0.97","-1.352","0.66","0.421","9"
"GSE10358@PRECOG","Leukemia","AML","OS","0.527","-1.356","-0.273","-0.332","178"
"METABRIC","Breast","","OS","0.037","-1.441","-0.5","-0.432","1463"
"GSE21257@PRECOG","Sarcoma","Osteo","OS","-0.007","-1.51","0.943","1.07","53"
"TCGA","Breast","TN","OS","0.833","-1.634","-2.022","-1.667","156"
"METABRIC","Breast","Her2","OS","0.078","-1.668","-0.186","0.165","163"
"GSE87211","Colorectal","","OS","0.422","-1.675","0.303","1.589","196"
"GSE14814@PRECOG","Lung","Adeno,Squamous","OS","0.108","-1.693","-0.235","0.041","90"
"GSE28722","Colorectal","","OS","0.629","-1.809","-1.338","-1.968","123"
"GSE14468","Leukemia","AML","OS","0.49","-1.826","-1.415","-0.806","443"
"GSE4573@PRECOG","Lung","Squamous","OS","0.561","-1.845","-0.462","0.168","130"
"TCGA","Kidney","Papillary","OS","0.894","-2.279","1.093","0.795","256"
"GSE14814","Lung","Squamous","OS","0.437","-2.335","-1.85","-2.179","52"
