"Cohort","Cancer","Subtype","Survival","CTL Cor","T Dysfunction","Risk","Risk.adj","Count"
"TCGA","Uveal","","OS","0.321","-1.588","3.055","2.411","67"
"TCGA","Stomach","","OS","-0.019","1.083","0.026","0.024","378"
"GSE21257@PRECOG","Sarcoma","Osteo","OS","-0.381","-0.942","-0.744","-1.166","53"
"TCGA","Sarcoma","","OS","-0.213","-1.525","2.619","2.001","258"
"GSE16560@PRECOG","Prostate","","OS","-0.152","-1.995","1.637","1.527","281"
"GSE21501@PRECOG","Pancreatic","","OS","-0.111","0.647","1.116","1.136","102"
"TCGA","Pancreatic","","OS","0.152","0.381","3.65","3.841","174"
"GSE32062","Ovary","","OS","-0.099","0.943","-0.008","-0.473","260"
"GSE17260","Ovary","","OS","-0.102","0.266","0.927","0.855","110"
"GSE26712","Ovary","","OS","-0.264","-0.453","0.074","-0.094","182"
"GSE49997","Ovary","","OS","-0.125","-0.527","1.215","1.378","194"
"GSE51088","Ovary","","OS","-0.187","-1.168","-0.14","-0.045","84"
"GSE63885","Ovary","","OS","-0.262","-1.359","-0.273","-0.305","70"
"GSE31245@PRECOG","Ovarian","","OS","-0.588","2.457","-0.516","-1.085","57"
"GSE8842@PRECOG","Ovarian","","OS","0.026","1.232","0.779","0.754","83"
"GSE13876@PRECOG","Ovarian","","OS","-0.213","0.708","0.588","-0.498","415"
"GSE17260@PRECOG","Ovarian","","OS","-0.102","-0.002","1.237","1.208","110"
"TCGA","Ovarian","","OS","-0.207","-0.3","1.035","0.83","301"
"GSE18521@PRECOG","Ovarian","","OS","-0.165","-0.665","0.688","0.611","53"
"GSE3149@PRECOG","Ovarian","","OS","-0.255","-0.983","-1.196","-1.443","133"
"GSE14764@PRECOG","Ovarian","","OS","-0.333","-1.078","1.299","1.153","80"
"GSE26712@PRECOG","Ovarian","","OS","-0.167","-1.372","1.213","1.132","185"
"TCGA","Ovarian","","OS","-0.31","-2.119","-0.01","-0.54","562"
"GSE9899@PRECOG","Ovarian","","OS","-0.2","-2.376","0.296","0.257","278"
"GSE24080@PRECOG","Myeloma","Multiple","OS","-0.124","1.195","4.684","4.815","553"
"GSE9782@PRECOG","Myeloma","Multiple","OS","-0.075","-0.474","8.149","8.15","264"
"GSE6477@PRECOG","Myeloma","Multiple","OS","-0.098","-0.604","2.847","2.828","146"
"GSE8401","Melanoma","","OS","-0.072","2.246","-0.289","-0.996","66"
"GSE8401@PRECOG","Melanoma","Metastatic","OS","0.083","1.745","0.991","1.045","67"
"Liu2019_PD1","Melanoma","Ipi_Prog","PFS","-0.269","1.002","2.71","2.212","47"
"Gide2019_PD1","Melanoma","","OS","-0.397","0.933","0.522","-0.707","41"
"Liu2019_PD1","Melanoma","Ipi_Naive","PFS","-0.119","0.905","0.919","0.785","74"
"Riaz2017_PD1","Melanoma","Ipi_Naive","PFS","-0.118","0.658","-1.386","-1.338","25"
"GSE54467","Melanoma","","OS","-0.202","0.559","0.286","-0.948","74"
"Liu2019_PD1","Melanoma","Ipi_Naive","OS","-0.119","0.548","1.34","1.329","74"
"Riaz2017_PD1","Melanoma","Ipi_Naive","OS","-0.118","0.382","0.219","0.147","25"
"Gide2019_PD1","Melanoma","","PFS","-0.397","0.269","0.51","-1.274","41"
"TCGA","Melanoma","Primary","OS","-0.307","0.052","1.24","0.953","98"
"GSE65904","Melanoma","","OS","-0.317","-0.055","1.252","-0.196","203"
"Hugo2016_PD1","Melanoma","","OS","-0.428","-0.142","0.638","0.91","25"
"Nathanson2017_CTLA4","Melanoma","Pre","OS","-0.408","-0.26","-0.259","0.039","9"
"GSE59455","Melanoma","","OS","-0.024","-0.482","1.532","1.647","122"
"Liu2019_PD1","Melanoma","Ipi_Prog","OS","-0.269","-0.788","2.455","2.16","47"
"GSE22153","Melanoma","","OS","-0.131","-0.83","1.705","1.575","54"
"Nathanson2017_CTLA4","Melanoma","Post","OS","-0.545","-1.144","0.649","-0.821","15"
"VanAllen2015_CTLA4","Melanoma","","OS","-0.196","-1.152","1.602","1.388","42"
"Lauss2017_ACT","Melanoma","","OS","-0.338","-1.171","0.359","0.236","25"
"TCGA","Melanoma","Metastatic","OS","-0.257","-1.249","2.543","1.784","317"
"TCGA","Melanoma","","OS","-0.229","-1.3","2.169","1.351","413"
"Lauss2017_ACT","Melanoma","","PFS","-0.338","-1.424","0.227","0.055","25"
"VanAllen2015_CTLA4","Melanoma","","PFS","-0.196","-1.457","0.726","0.601","42"
"Riaz2017_PD1","Melanoma","Ipi_Prog","OS","-0.412","-1.505","2.82","2.724","26"
"Riaz2017_PD1","Melanoma","Ipi_Prog","PFS","-0.412","-1.798","0.718","0.194","26"
"Gide2019_PD1+CTLA4","Melanoma","","OS","-0.458","-2.042","1.828","1.777","32"
"Gide2019_PD1+CTLA4","Melanoma","","PFS","-0.458","-2.449","0.894","0.31","32"
"Monti_DLBCL@PRECOG","Lymphoma","DLBC","OS","-0.296","1.45","-0.703","0.184","129"
"GSE4475@PRECOG","Lymphoma","Burkitt,DLBC","OS","-0.417","0.978","-0.736","-1.0","159"
"GSE10846@PRECOG","Lymphoma","DLBC","OS","-0.361","0.302","3.208","3.373","414"
"GSE4475","Lymphoma","DLBC","OS","-0.388","0.208","0.999","0.107","109"
"E-TABM-346@PRECOG","Lymphoma","DLBC","OS","-0.3","0.097","-0.234","-0.282","53"
"Glas_FL@PRECOG","Lymphoma","Follicular","OS","-0.171","-0.676","-0.117","-0.539","75"
"GSE10846","Lymphoma","DLBC","OS","-0.382","-0.79","-0.096","-0.479","388"
"GSE16131@PRECOG","Lymphoma","Follicular","OS","-0.272","-2.003","0.965","1.235","180"
"Rosenwald_MCL@PRECOG","Lymphoma","Mantle","OS","0.155","-2.122","3.018","2.982","92"
"ca00182@PRECOG","Lung","Adeno","OS","-0.079","1.504","1.303","1.458","442"
"GSE1037@PRECOG","Lung","Adeno,Large,Small","OS","0.346","1.163","2.328","2.191","61"
"GSE4573@PRECOG","Lung","Squamous","OS","-0.071","0.973","0.956","0.881","130"
"GSE50081","Lung","","DFS","0.013","0.726","-2.289","-2.276","177"
"Roepman_LungCancer@PRECOG","Lung","Adeno,Large,Squamous","OS","-0.136","0.725","-1.979","-2.352","157"
"GSE50081","Lung","","OS","-0.006","0.714","-0.827","-0.707","181"
"GSE31210@PRECOG","Lung","Adeno","OS","0.185","0.601","0.326","0.281","226"
"GSE10245@PRECOG","Lung","Adeno,Squamous","OS","-0.126","0.506","-0.635","-0.936","58"
"GSE3141@PRECOG","Lung","Adeno,Squamous","OS","-0.313","0.188","0.632","0.179","111"
"TCGA","Lung","Squamous","OS","-0.201","0.044","-0.681","-0.668","484"
"GSE37745","Lung","","OS","-0.027","-0.098","1.173","1.173","196"
"GSE30219","Lung","","OS","-0.024","-0.147","2.123","1.979","263"
"GSE14814@PRECOG","Lung","Adeno,Squamous","OS","-0.25","-0.524","-0.507","-0.818","90"
"GSE5828@PRECOG","Lung","Squamous","OS","0.155","-0.585","-2.705","-2.766","59"
"GSE5123@PRECOG","Lung","Squamous","OS","0.175","-0.659","-2.652","-2.795","51"
"ca00191@PRECOG","Lung","Adeno","OS","-0.07","-0.672","1.519","1.539","125"
"GSE11969","Lung","","OS","0.203","-0.815","-0.081","0.302","158"
"GSE29013@PRECOG","Lung","Adeno,Squamous","OS","0.102","-0.92","2.743","2.531","55"
"GSE11969","Lung","Adeno","OS","0.278","-1.055","1.564","2.104","91"
"GSE8894@PRECOG","Lung","Adeno,Squamous","OS","0.059","-1.084","1.818","1.94","138"
"GSE14814","Lung","Adeno","OS","-0.208","-1.097","0.541","0.444","71"
"TCGA","Lung","Adeno","OS","0.004","-1.106","2.868","2.858","487"
"GSE11969@PRECOG","Lung","Adeno,Large,Squamous","OS","0.203","-1.156","0.693","1.054","149"
"GSE14814","Lung","Squamous","OS","-0.0","-1.205","0.816","0.828","52"
"GSE13213@PRECOG","Lung","Adeno","OS","-0.037","-1.213","3.455","3.455","117"
"GSE19188@PRECOG","Lung","Adeno,Large,Squamous","OS","-0.165","-1.32","-2.137","-2.225","82"
"GSE13213","Lung","","OS","-0.065","-1.659","2.124","2.127","115"
"GSE13213","Lung","Adeno","OS","-0.075","-1.69","2.124","2.125","115"
"GSE41271","Lung","","OS","-0.114","-2.094","2.115","1.966","258"
"GSE42127","Lung","","OS","-0.117","-2.616","1.638","1.626","175"
"GSE10186","Liver","","OS","-0.123","1.347","-1.064","-1.131","78"
"GSE54236","Liver","","OS","-0.14","0.618","2.595","2.613","81"
"TCGA","Liver","","OS","0.045","0.582","3.493","3.558","346"
"GSE10143@PRECOG","Liver","","OS","-0.222","-0.274","-1.307","-1.224","144"
"GSE1898@PRECOG","Liver","","OS","0.092","-2.637","1.232","1.264","76"
"GSE10358@PRECOG","Leukemia","AML","OS","-0.102","1.407","3.989","4.02","178"
"GSE22762_GPL570@PRECOG","Leukemia","CLL","OS","-0.014","1.293","1.236","1.254","107"
"GSE11877@PRECOG","Leukemia","BALL","OS","-0.159","0.589","-0.908","-0.734","207"
"ca00119@PRECOG","Leukemia","AML","OS","-0.164","0.563","1.074","0.726","169"
"GSE10358","Leukemia","AML","OS","-0.098","0.527","1.655","1.406","175"
"GSE14468","Leukemia","AML","OS","-0.306","0.356","-0.442","-1.002","443"
"GSE1159","Leukemia","AML","OS","-0.287","-0.365","-0.235","-0.396","260"
"TCGA","Leukemia","AML","OS","-0.075","-0.365","1.084","1.093","161"
"GSE5314@PRECOG","Leukemia","BALL","OS","-0.076","-0.529","0.025","0.011","53"
"GSE14468@PRECOG","Leukemia","AML","OS","-0.251","-0.598","1.053","1.095","262"
"GSE71014","Leukemia","AML","OS","-0.39","-1.011","-0.005","-0.193","104"
"GSE12417_GPL96","Leukemia","AML","OS","-0.316","-1.78","0.516","0.065","163"
"GSE12417_GPL570","Leukemia","AML","OS","-0.305","-1.828","0.987","0.478","79"
"GSE1427@PRECOG","Leukemia","AML","OS","0.388","-3.16","-0.921","0.769","98"
"TCGA","Kidney","Papillary","OS","-0.082","2.957","2.227","2.34","256"
"Braun2020_PD1","Kidney","Clear","OS","-0.184","2.328","0.19","-0.621","295"
"Braun2020_PD1","Kidney","Clear","PFS","-0.184","2.31","0.688","0.467","295"
"Miao2018_ICB","Kidney","Clear","OS","-0.245","2.098","-0.275","-0.221","33"
"E-MTAB-3267","Kidney","Clear","PFS","0.002","0.962","1.99","2.126","53"
"TCGA","Kidney","Clear","OS","-0.092","0.627","1.474","1.579","529"
"Miao2018_ICB","Kidney","Clear","PFS","-0.245","0.469","-1.631","-1.272","33"
"GSE27020","Head Neck","","DFS","-0.308","2.65","2.228","2.087","107"
"TCGA","Head Neck","HPVpos","OS","-0.0","0.488","-1.186","-1.164","36"
"TCGA","Head Neck","HPVneg","OS","-0.168","-0.104","0.255","0.0","243"
"TCGA","Head Neck","","OS","-0.157","-0.351","-0.017","-0.32","513"
"GSE65858","Head Neck","HPVneg","OS","-0.289","-0.362","0.341","0.369","196"
"GSE26549","Head Neck","","DFS","-0.228","-0.362","2.095","2.111","86"
"GSE65858","Head Neck","","OS","-0.262","-0.841","-0.14","-0.331","256"
"Thurlow_HNSCC@PRECOG","Head Neck","","OS","-0.251","-1.131","0.532","-0.021","74"
"GSE65858","Head Neck","HPVpos","OS","-0.191","-1.453","-1.196","-1.247","60"
