Signature ID,Percent Overlap (SCC25_PI),adj p-val (SCC25_PI),Overlap (SCC25_PI),Score (SCC25_PI)
PERT-PSP_VIRUS_INFECTION,33.3,0.012,P05783;S34-p;u|Q92934;S99-p;u|Q13315;S1981-p;u|Q16539;T180-p;u|P25963;S32-p;u|Q16539;Y182-p;u|P27361;T202-p;u|P27361;Y204-p;u|P28482;T185-p;u|P28482;Y187-p;u,-4.4141998291
PERT-PSP_VANADATE,33.3,0.012,P00533;Y1172-p;u|Q15139;S738-p;u|Q15139;S742-p;u|P12931;Y419-p;u|Q16539;T180-p;u|Q16539;Y182-p;u|P27361;T202-p;u|P27361;Y204-p;u|P28482;T185-p;u|P28482;Y187-p;u,-3.8306999207
PERT-PSP_UV,41.7,0.5806451613,Q5UIP0;T1518-p;u|Q13263;S473-p;u|Q99638;S272-p;u|P05412;S63-p;u|O95260;S169-p;u|P45984;Y185-p;u|P30307;S216-p;u|P05412;S73-p;u|Q9UBE0;S185-p;u|O15355;S183-p;u|Q92804;S97-p;u|Q13098;S474-p;u|P49736;S108-p;u|O95251;S53-p;u|P38398;S1524-p;u|P06493;Y15-p;u|Q13315;S1981-p;u|Q13098;T479-p;u|O75582;S376-p;u|P27707;S74-p;u|Q02156;S346-p;u|Q9Y248;S182-p;u|P15336;T69-p;u|P15336;T71-p;u|P40763;S727-p;u|Q16539;T180-p;u|P25963;S32-p;u|O95251;S50-p;u|Q14683;S957-p;u|Q16539;Y182-p;u|Q9H063;S75-p;u|P27361;T202-p;u|P27361;Y204-p;u|P28482;T185-p;u|P28482;Y187-p;u,-1.1965999603
PERT-PSP_U0126,79.2,0.0580608581,P40763;Y705-p;d|P29317;S901-p;d|Q7Z4V5;S454-p;d|Q9UPN9;S1119-p;d|O43765;T303-p;d|P16949;S25-p;d|P06493;Y15-p;d|P40763;S727-p;d|Q8N573;S201-p;d|O43765;S305-p;d|O95817;S377-p;d|Q92934;S75-p;d|Q8N573;S202-p;d|Q9UJU6;S269-p;d|P29317;S897-p;d|P27361;T202-p;d|P27361;Y204-p;d|P28482;T185-p;d|P28482;Y187-p;d,3.5673999786
PERT-PSP_TNF,50,0.012,P04792;S82-p;u|P45984;Y185-p;u|P25963;S36-p;u|P15336;T71-p;u|P45983;Y185-p;u|P19838;S927-p;u|Q16539;T180-p;u|P45983;T183-p;u|P25963;S32-p;u|Q16539;Y182-p;u|P00533;T693-p;u|P35568;S307-p;u|Q15418;S380-p;u|P27361;T202-p;u|P27361;Y204-p;u|P28482;T185-p;u|P28482;Y187-p;u,-5.5229997635
PERT-PSP_THROMBIN,54.2,0.012,P04792;S82-p;u|O14974;T696-p;u|P24844;S20-p;u|P04792;S78-p;u|Q05655;Y313-p;u|P12931;Y419-p;u|Q16539;T180-p;u|P25963;S32-p;u|Q16539;Y182-p;u|P27361;T202-p;u|P27361;Y204-p;u|P28482;T185-p;u|P28482;Y187-p;u,-4.2638001442
PERT-PSP_SII_ANGIOTENSIN_2,86.1,0.0192048012,Q9Y2W1;S575-p;u|Q9UKV3;S710-p;u|Q8NC51;S330-p;u|P43243;S188-p;u|Q9BTC0;S1456-p;u|O95218;S153-p;u|Q99759;S340-p;u|Q86YS7;S659-p;u|Q86WB0;S354-p;u|Q86YS7;S662-p;u|Q9BVC5;S189-p;u|Q641Q2;S288-p;u|Q9NWW5;S31-p;u|Q9UN36;S332-p;u|Q9Y624;S284-p;u|Q9BVC5;S193-p;u|Q15139;S205-p;u|Q86WB0;S407-p;u|Q9Y2V2;S41-p;u|P52948;S623-p;u|Q9Y2V2;S30-p;u|Q9Y2V2;S32-p;u|Q9UBC2;S255-p;u|Q9UN36;T330-p;u|Q9Y2X7;S592-p;u|Q9UBM7;S14-p;u|Q15121;S116-p;u|P27361;T202-p;u|P27361;Y204-p;u|P28482;T185-p;u|P28482;Y187-p;u,-3.9981000423
PERT-PSP_SERUM,50,0.0334640523,P62753;S240-p;u|P62753;S235-p;u|P23443;S427-p;u|Q6R327;T1135-p;u|P62753;S236-p;u|P24941;T160-p;u|P23588;S422-p;u|Q00987;S166-p;u|P42345;S2481-p;u|Q04637;S1147-p;u|P42345;S2448-p;u|P06400;T826-p;u|Q969V6;S454-p;u|P50548;T526-p;u|P49841;S9-p;u|P06400;S780-p;u|P00533;T693-p;u|P23443;S441-p;u|P23443;S447-p;u|P23443;T444-p;u|Q15418;S380-p;u|P29317;S897-p;u,-3.6340999603
PERT-PSP_RAPAMYCIN,56.8,0.1363636364,P27361;T202-p;u|P27361;Y204-p;u|P28482;Y187-p;u|P62753;S240-p;d|P62753;S235-p;d|Q6R327;T1135-p;d|P62753;S236-p;d|O75385;S758-p;d|Q9H063;S60-p;d|Q99543;S47-p;d|Q99543;S49-p;d|Q96B36;S183-p;d|Q9H063;S68-p;d|P42345;S2481-p;d|P42345;S2448-p;d|Q9NYV6;S44-p;d|Q13541;T70-p;d|Q9H063;S75-p;d|P23443;S447-p;d|P23443;T444-p;d|Q13541;S65-p;d,-2.5443999767
PERT-PSP_PHORBOL_ESTER_IONOMYCIN,90.9,0.012,P25963;S36-p;u|P45983;Y185-p;u|Q16539;T180-p;u|P45983;T183-p;u|P25963;S32-p;u|Q16539;Y182-p;u|P27361;T202-p;u|P27361;Y204-p;u|P28482;T185-p;u|P28482;Y187-p;u,-5.122300148
